Title,Price,Bids,Finish Time,Url
Trombone ,$40.00 ,8 , 07/12 07:34 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473942
Craftsman Tool Box,$315.00 ,24 , 07/12 07:33 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473926
English Horn,$710.00 ,36 , 07/12 07:31 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473939
(6) Lights,$25.00 ,4 , 07/12 07:31 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473934
LG TV,$85.00 ,12 , 07/12 07:30 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473923
(6) Lights,$25.00 ,4 , 07/12 07:30 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473933
Trumpet,$50.00 ,6 , 07/12 07:29 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473937
(4) Lights,$10.00 ,2 , 07/12 07:28 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473936
"Scientific Equip:Analayzers, Generator",$820.00 ,40 , 07/12 07:28 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473931
(3) Lights,$10.00 ,2 , 07/12 07:27 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473935
"Scientific Equip: Multimeters, Oscilloscopes",$720.00 ,28 , 07/12 07:27 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473930
Blu-Ray DVD,$155.00 ,16 , 07/12 07:26 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473929
"Projectors, Document Cameras",$790.00 ,37 , 07/12 07:21 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473919
(6) Projectors,$790.00 ,36 , 07/12 07:20 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473918
Bunn Coffee Warmer,$15.00 ,3 , 07/12 07:20 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473928
Wista Camera ,$380.00 ,37 , 07/12 07:19 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473927
Vase,$35.00 ,7 , 07/12 07:18 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473916
Light Box,$15.00 ,3 , 07/12 07:17 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473925
LG TV,$60.00 ,10 , 07/12 07:14 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473922
Olympus Microscope,$90.00 ,14 , 07/12 07:14 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473912
Olympus Microscope,$85.00 ,13 , 07/12 07:13 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473911
2012 Ford Passenger Van,"$9,850.00 ",81 , 07/12 07:13 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473866
(2) Dayton Shop Fans,$135.00 ,12 , 07/12 07:12 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473920
Olympus Microscope,$90.00 ,14 , 07/12 07:12 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473910
Olympus Microscope,$90.00 ,15 , 07/12 07:11 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473914
Olympus Microscope,$85.00 ,13 , 07/12 07:10 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473913
Cash Box w/ Keys,$20.00 ,3 , 07/12 07:09 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473917
Gooseneck Hitch Eyelet,$15.00 ,2 , 07/12 07:07 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473915
Sewing Machine,$25.00 ,5 , 07/12 07:01 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473909
Sewing Machine,$45.00 ,5 , 07/12 07:00 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473908
Sewing Machine,$25.00 ,4 , 07/12 06:59 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473907
Sewing Machine,$45.00 ,8 , 07/12 06:58 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473906
Keurig,$25.00 ,5 , 07/12 06:57 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473905
NEC Projector ,$130.00 ,12 , 07/12 06:57 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473900
Keurig,$10.00 ,2 , 07/12 06:56 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473904
Keurig,$15.00 ,3 , 07/12 06:55 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473903
NEC Projector ,$145.00 ,22 , 07/12 06:55 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473898
NEC Projector ,$15.00 ,2 , 07/12 06:54 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473902
NEC Projector ,$130.00 ,11 , 07/12 06:53 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473901
